,cena,czynsz,forma_wlasnosci,liczba_pieter,liczba_pokoi,material_budynku,ogrzewanie,okna,pietro,powierzchnia,rodzaj_zabudowy,rynek,stan_wykonczenia,wiek
808,501559.0,350.0,pelna_wlasnosc,4,3,pustak,miejskie,plastikowe,2.0,85.01,apartamentowiec,pierwotny,do_wykonczenia,0
809,220000.0,290.0,spoldzielcze_wlasnosciowe,2,2,cegla,elektryczne,plastikowe,2.0,51.0,blok,wtorny,do_remontu,59
810,348000.0,350.0,pelna_wlasnosc,10,4,beton,miejskie,plastikowe,9.0,72.0,blok,wtorny,do_zamieszkania,39
811,244900.0,100.0,pelna_wlasnosc,10,2,pustak,miejskie,plastikowe,1.0,40.16,blok,pierwotny,do_wykonczenia,0
812,195000.0,350.0,spoldzielcze_wl._z_kw,14,1,beton,miejskie,plastikowe,0.0,39.0,blok,wtorny,do_zamieszkania,41
813,279000.0,600.0,spoldzielcze_wl._z_kw,4,4,beton,miejskie,plastikowe,4.0,74.2,blok,wtorny,do_remontu,39
814,400000.0,400.0,pelna_wlasnosc,8,2,pustak,miejskie,plastikowe,4.0,50.0,apartamentowiec,wtorny,do_zamieszkania,11
815,338000.0,950.0,pelna_wlasnosc,10,3,beton,miejskie,plastikowe,10.0,66.0,blok,wtorny,do_zamieszkania,49
816,224000.0,100.0,pelna_wlasnosc,10,2,pustak,miejskie,plastikowe,2.0,36.75,blok,pierwotny,do_wykonczenia,0
817,299000.0,450.0,pelna_wlasnosc,15,2,beton,miejskie,plastikowe,10.0,47.0,blok,wtorny,do_zamieszkania,49
818,315000.0,380.0,spoldzielcze_wlasnosciowe,10,4,beton,miejskie,plastikowe,9.0,72.12,blok,wtorny,do_zamieszkania,39
819,242000.0,100.0,pelna_wlasnosc,5,2,pustak,miejskie,plastikowe,1.0,33.48,blok,pierwotny,do_wykonczenia,0
820,194000.0,223.0,pelna_wlasnosc,1,3,cegla,piece_kaflowe,plastikowe,1.0,55.0,kamienica,wtorny,do_remontu,39
821,150000.0,299.0,spoldzielcze_wlasnosciowe,11,1,beton,miejskie,plastikowe,11.0,25.5,blok,wtorny,do_zamieszkania,39
822,370000.0,350.0,pelna_wlasnosc,14,3,beton,miejskie,plastikowe,11.0,59.0,blok,wtorny,do_zamieszkania,39
823,195000.0,350.0,pelna_wlasnosc,10,2,beton,miejskie,plastikowe,1.0,38.5,blok,wtorny,do_zamieszkania,39
824,305220.0,350.0,pelna_wlasnosc,4,2,inne,miejskie,plastikowe,4.0,50.87,apartamentowiec,wtorny,do_wykonczenia,39
825,251433.0,350.0,pelna_wlasnosc,4,2,inne,miejskie,plastikowe,4.0,39.91,apartamentowiec,wtorny,do_wykonczenia,39
826,270000.0,100.0,pelna_wlasnosc,10,3,pustak,miejskie,plastikowe,4.0,48.38,blok,pierwotny,do_wykonczenia,0
827,330540.0,350.0,pelna_wlasnosc,4,4,inne,miejskie,plastikowe,4.0,55.09,apartamentowiec,wtorny,do_wykonczenia,39
828,287393.0,350.0,pelna_wlasnosc,6,2,pustak,miejskie,plastikowe,5.0,36.15,blok,pierwotny,do_wykonczenia,-1
829,309840.0,350.0,pelna_wlasnosc,4,3,inne,miejskie,plastikowe,4.0,51.64,apartamentowiec,wtorny,do_wykonczenia,39
